SchoolYear;RCDTS;School;Enrollment;FAEnrollment;iepp;eavpp;doepp;ALLCourses;FACourses;ALLTeachers;FATeachers;ALLTeachersCalc;FATeachersCalc
2017;1,50163E+14;Jenner Elem Academy of the Arts;260;208;10396;176452;15378;2315;415;19;16;19;16
2017;1,50163E+14;Jensen Elem Scholastic Academy;451;0;10396;176452;15378;3273;0;22;0;23;0
2017;1,50163E+14;Pilsen Elem Community Academy;327;267;10396;176452;15378;2974;502;21;9;21;9
2017;15016299025228C;Catalyst Charter-Circle Rock ES;529;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Johnson Elem School;492;407;10396;176452;15378;4297;853;29;2;32;5
2017;1,50163E+14;Jungman Elem School;277;236;10396;176452;15378;2289;236;14;1;14;1
2017;1,50163E+14;Kellogg Elem School;266;235;10396;176452;15378;2503;235;16;9;16;9
2017;1,50163E+14;Kershaw Elem School;239;194;10396;176452;15378;1552;194;14;1;14;1
2017;1,50163E+14;Kilmer Elem School;792;603;10396;176452;15378;7469;1046;37;5;37;5
2017;1,50163E+14;Kinzie Elem School;655;578;10396;176452;15378;5797;579;34;6;37;8
2017;15016299025229C;Academy for Global Citizenship;476;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Kipling Elem School;337;292;10396;176452;15378;3020;332;22;1;23;1
2017;1,50163E+14;Lozano Elem Bilingual & Intl Ctr;221;189;10396;176452;15378;1712;189;11;6;11;6
2017;1,50163E+14;Kozminski Elem Community Academy;274;0;10396;176452;15378;1945;0;13;0;13;0
2017;1,50163E+14;LaSalle Elem Language Academy;565;498;10396;176452;15378;6033;1059;34;3;34;3
2017;1,50163E+14;Lawndale Elem Community Academy;276;0;10396;176452;15378;1380;0;14;0;14;0
2017;15016299025230C;Rowe Elementary;953;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Lewis Elem School;506;60;10396;176452;15378;1253;60;11;2;13;3
2017;1,50163E+14;Libby Elem School;412;225;10396;176452;15378;2945;225;19;1;19;1
2017;1,50163E+14;Lincoln Elem School;879;765;10396;176452;15378;10830;1635;42;4;46;6
2017;1,50163E+14;Linne Elem School;610;469;10396;176452;15378;5793;472;31;21;34;23
2017;1,50163E+14;Lloyd Elem School;1054;862;10396;176452;15378;8883;1376;44;2;45;3
2017;1,50163E+14;Locke  J Elem School;1244;1056;10396;176452;15378;11739;1211;56;3;56;3
2017;1,50163E+14;Lovett Elem School;372;310;10396;176452;15378;2208;319;14;1;14;1
2017;15016299025231C;Nkrumah Academy Charter ES;236;0;10396;176452;15378;1450;0;;;;
2017;1,50163E+14;Lowell Elem School;485;395;10396;176452;15378;5129;798;23;20;24;21
2017;1,50163E+14;Lyon Elem School;1563;1374;10396;176452;15378;15897;2280;61;8;62;9
2017;1,50163E+14;Madison Elem School;268;211;10396;176452;15378;1953;214;13;2;13;2
2017;1,50163E+14;Manierre Elem School;307;106;10396;176452;15378;2112;107;15;0;15;0
2017;1,50163E+14;Mann Elem School;419;307;10396;176452;15378;2310;307;20;17;20;17
2017;15016299025232C;Catalyst Charter - Maria ES;1132;0;10396;176452;15378;171;0;;;;
2017;1,50163E+14;Marquette Elem School;1181;1017;10396;176452;15378;9805;1977;68;43;70;44
2017;1,50163E+14;Marsh Elem School;783;683;10396;176452;15378;6896;683;37;27;37;27
2017;1,50163E+14;Mason Elem School;365;226;10396;176452;15378;2372;226;14;11;16;13
2017;1,50163E+14;Mayer Elem School;618;512;10396;176452;15378;5915;852;33;2;33;2
2017;1,50163E+14;McClellan Elem School;332;0;10396;176452;15378;2294;0;19;0;19;0
2017;15016299025233C;Montessori of Englewood Chtr ES;247;0;10396;176452;15378;;;;;;
2017;1,50163E+14;McCormick Elem School;736;580;10396;176452;15378;6211;580;29;25;32;28
2017;1,50163E+14;McCutcheon Elem School;411;319;10396;176452;15378;3486;320;24;12;25;12
2017;1,50163E+14;McDade Elem Classical School;196;0;10396;176452;15378;1322;0;9;0;9;0
2017;1,50163E+14;McKay Elem School;838;634;10396;176452;15378;7382;637;36;1;36;1
2017;1,50163E+14;McPherson Elem School;702;609;10396;176452;15378;8955;1228;48;6;48;6
2017;15016299025234C;KIPP Chicago Charter Schools;1774;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Melody Elem School;428;0;10396;176452;15378;1963;0;22;0;22;0
2017;1,50163E+14;Mitchell Elem School;363;327;10396;176452;15378;3021;604;21;2;22;2
2017;1,50163E+14;Mollison Elem School;391;272;10396;176452;15378;2310;359;24;16;24;16
2017;1,50163E+14;Monroe Elem School;845;455;10396;176452;15378;6192;585;42;2;44;3
2017;1,50163E+14;Moos Elem School;498;414;10396;176452;15378;4598;729;33;2;35;4
2017;1,50163E+14;Morrill Elem Math & Sci School;764;619;10396;176452;15378;5757;619;39;1;40;2
2017;1,50163E+14;Inter-American Elem Magnet School;638;536;10396;176452;15378;7819;1617;30;25;32;27
2017;15016299025235C;Christopher House Chrt ES;290;218;10396;176452;15378;1532;218;;;;
2017;1,50163E+14;Mount Greenwood Elem School;1122;964;10396;176452;15378;9506;1914;47;2;47;2
2017;1,50163E+14;Mount Vernon Elem School;258;220;10396;176452;15378;1802;225;15;1;15;1
2017;1,50163E+14;Mozart Elem School;702;462;10396;176452;15378;6557;462;35;1;35;1
2017;1,50163E+14;Murphy Elem School;529;456;10396;176452;15378;4484;1246;22;2;22;2
2017;1,50163E+14;Murray Elem Language Academy;522;451;10396;176452;15378;3626;455;30;1;33;4
2017;1,50163E+14;Brown R Elem Community Acad;338;215;10396;176452;15378;2899;215;16;1;17;2
2017;1,50163E+14;Nash Elem School;330;252;10396;176452;15378;2778;252;13;1;13;1
2017;1,50163E+14;Neil Elem School;300;251;10396;176452;15378;2472;251;19;15;19;15
2017;15016299025236C;Chicago Collegiate Charter School;330;0;10396;176452;15378;;;;;;
2017;1,50163E+14;Nettelhorst Elem School;767;216;10396;176452;15378;4097;509;37;10;38;11
2017;1,50163E+14;Newberry Elem Math & Science Acad;558;495;10396;176452;15378;5840;1485;25;5;27;7
2017;1,50163E+14;Carver Primary School;515;404;10396;176452;15378;4206;408;26;7;28;9
2017;1,50163E+14;Nightingale Elem School;1188;1043;10396;176452;15378;11135;1045;63;3;63;3
2017;1,50163E+14;Nixon Elem School;861;729;10396;176452;15378;8359;1292;42;37;42;37
2017;1,50163E+14;Nobel Elem School;872;752;10396;176452;15378;8728;1528;38;2;39;3
2017;1,50163E+14;Norwood Park Elem School;378;341;10396;176452;15378;2608;341;16;2;16;2
2017;1,50163E+14;Ogden Elem School;882;705;10396;176452;15378;9497;1398;35;3;37;5
2017;1,50163E+14;Oglesby Elem School;521;432;10396;176452;15378;3553;434;24;1;25;2
2017;1,50163E+14;OKeeffe Elem School;708;561;10396;176452;15378;5020;777;30;20;30;20
2017;1,50163E+14;Onahan Elem School;608;524;10396;176452;15378;5087;524;24;4;26;6
2017;1,50163E+14;Oriole Park Elem School;670;594;10396;176452;15378;5161;1163;35;3;36;4
2017;1,50163E+14;Piccolo Elem Specialty School;603;501;10396;176452;15378;3781;1008;33;14;33;14
2017;1,50163E+14;Otis Elem School;464;402;10396;176452;15378;4825;811;36;20;39;23
2017;1,50163E+14;OToole Elem School;404;0;10396;176452;15378;2452;0;20;0;20;0
2017;1,50163E+14;Owen Elem Scholastic Academy;266;233;10396;176452;15378;2809;233;16;2;16;2
2017;15016299025238C;Frazier Prep Acad Charter ES;415;0;10396;176452;15378;;;;;;
